City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,cosne-cours-sur-loire,47.3333,3.1667,53.96,79,99,11.43,FR,1684881866
173,olinda,-8.0089,-34.8553,82.13,74,40,12.66,BR,1684881866
174,san patricio,28.017,-97.5169,91.18,59,21,14.2,US,1684881866
175,wewak,-3.5534,143.6268,81.16,78,100,3.6,PG,1684881866
176,swift current,50.2834,-107.8014,74.21,33,0,8.05,CA,1684881867
177,maralal,1.0968,36.698,57.97,91,44,3.98,KE,1684881867
178,ouadda,8.0777,22.4007,71.6,68,92,3.04,CF,1684881867
179,olyokminsk,60.3736,120.4264,48.69,49,95,3.04,RU,1684881648
180,baise city,23.8997,106.6133,73.35,91,99,3.0,CN,1684881867
181,nova sintra,14.8667,-24.7167,68.63,79,54,14.09,CV,1684881867
182,ashmyany,54.425,25.9378,55.4,79,23,4.29,BY,1684881867
183,buellton,34.6136,-120.1927,63.23,82,100,8.05,US,1684881867
184,rio grande,-32.035,-52.0986,64.51,88,53,8.97,BR,1684881665
185,calama,-22.4667,-68.9333,64.89,14,0,23.02,CL,1684881619
186,bubaque,11.2833,-15.8333,81.82,70,95,12.64,GW,1684881681
187,caleta de carquin,-11.0925,-77.6267,71.31,80,93,10.49,PE,1684881867
188,cienfuegos,22.1461,-80.4356,84.34,74,48,9.22,CU,1684881867
189,mpongwe,-13.5091,28.155,61.75,72,27,5.57,ZM,1684881867
190,bojia,26.4672,111.9681,64.74,89,85,0.22,CN,1684881868
191,afaahiti,-17.75,-149.2833,82.27,83,68,13.4,PF,1684881868
192,harstad,68.799,16.5293,43.99,87,53,21.0,NO,1684881868
193,hawaiian paradise park,19.5933,-154.9731,78.73,81,40,4.61,US,1684881868
194,nova vicosa,-17.8919,-39.3719,73.29,85,98,8.46,BR,1684881868
195,yerofey pavlovich,53.9667,121.9667,49.23,84,83,2.71,RU,1684881868
196,buka,40.8108,69.1986,65.57,54,3,3.29,UZ,1684881868
197,vila velha,-20.3297,-40.2925,71.55,91,75,5.75,BR,1684881643
198,saipan,15.1355,145.701,81.3,100,100,19.57,MP,1684881868
199,kodiak,57.79,-152.4072,44.11,93,100,18.41,US,1684881868
200,broome,42.2506,-75.833,72.64,55,78,4.14,US,1684881868
201,leava,-14.3,-178.1667,81.39,81,79,14.2,WF,1684881868
202,mirriah,13.7073,9.1501,92.91,24,36,2.75,NE,1684881868
203,palikir - national government center,6.9248,158.1611,86.74,74,75,4.61,FM,1684881869
204,port douglas,-16.4833,145.4667,72.75,81,93,19.24,AU,1684881640
205,isetskoye,56.4858,65.3226,58.08,53,5,2.77,RU,1684881869
206,bucerias,20.75,-105.3333,85.98,70,40,14.97,MX,1684881869
207,quellon,-43.1167,-73.6167,52.05,76,100,25.32,CL,1684881869
208,moab,38.5733,-109.5498,84.25,25,30,1.99,US,1684881869
209,talnakh,69.4865,88.3972,31.21,95,62,9.98,RU,1684881869
210,raduzhny,62.0961,77.475,40.35,72,55,7.45,RU,1684881870
211,fale old settlement,-9.3852,-171.2468,82.51,73,33,7.99,TK,1684881870
212,nemuro,43.3236,145.575,40.37,85,100,19.28,JP,1684881870
213,tobelo,1.7284,128.0095,81.66,77,10,4.81,ID,1684881870
214,qiqihar,47.3408,123.9672,74.01,20,77,13.98,CN,1684881870
215,ghat,24.9647,10.1728,83.97,21,90,0.63,LY,1684881631
216,patterson,37.4716,-121.1297,80.67,38,30,2.73,US,1684881870
217,surgeres,46.1,-0.75,60.73,79,59,14.94,FR,1684881870
218,berdigestyakh,62.0989,126.6992,46.67,39,53,2.73,RU,1684881870
219,ilulissat,69.2167,-51.1,24.82,86,100,11.5,GL,1684881870
220,arno,60.1167,18.6333,50.79,59,82,5.88,SE,1684881638
221,zarghun shahr,32.8473,68.4457,58.14,58,69,6.62,AF,1684881870
222,saynshand,44.8824,110.1163,59.77,48,100,13.62,MN,1684881871
223,rongelap,11.1635,166.8941,82.74,75,84,14.74,MH,1684881641
224,burang,30.25,81.1667,37.62,82,93,3.74,CN,1684881664
225,geraldton,-28.7667,114.6,63.01,94,100,8.05,AU,1684881871
226,vernon,50.2581,-119.2691,64.62,73,100,5.01,CA,1684881871
227,murghob,38.1702,73.9667,39.07,67,100,5.37,TJ,1684881871
228,pisco,-13.7,-76.2167,73.45,73,0,17.27,PE,1684881703
229,suva,-18.1416,178.4415,78.28,89,75,5.75,FJ,1684881871
230,hasaki,35.7333,140.8333,61.29,57,24,18.45,JP,1684881871
231,colonia,50.9333,6.95,50.25,76,0,5.75,DE,1684881871
232,eyl,7.9803,49.8164,81.61,78,82,12.53,SO,1684881680
233,kaa-khem,51.6833,94.7333,48.31,56,12,6.53,RU,1684881871
234,marshfield,44.6689,-90.1718,81.48,31,0,10.36,US,1684881871
235,bogande,12.9714,-0.1436,94.24,35,94,8.48,BF,1684881871
236,ghadamis,30.1337,9.5007,77.22,17,2,6.22,LY,1684881871
237,xique xique,-10.8217,-42.7311,79.9,60,59,19.39,BR,1684881872
238,dalandzadgad,43.5708,104.425,47.44,72,95,25.57,MN,1684881668
239,jiwani,25.05,61.7417,86.31,78,60,14.36,PK,1684881872
240,port elizabeth,-33.918,25.5701,53.31,76,0,6.91,ZA,1684881872
241,sungai penuh,-2.0833,101.3833,63.57,98,68,1.52,ID,1684881872
242,kapa'a,22.0752,-159.319,82.38,77,100,11.5,US,1684881684
243,sitka,57.0531,-135.33,55.29,58,100,9.22,US,1684881872
244,ad dabbah,18.05,30.95,91.45,11,1,8.21,SD,1684881872
245,kingston,17.997,-76.7936,83.35,82,75,6.91,JM,1684881793
246,kone,-21.0595,164.8658,74.88,50,8,7.65,NC,1684881872
247,taubate,-23.0264,-45.5553,66.81,82,0,1.14,BR,1684881872
248,saudarkrokur,65.7461,-19.6394,38.43,70,86,39.48,IS,1684881872
249,nagqu,31.5,92.0,34.21,54,100,2.26,CN,1684881872
250,boma,7.0805,-2.1697,74.43,98,88,2.73,GH,1684881872
251,arraial do cabo,-22.9661,-42.0278,73.26,83,20,8.05,BR,1684881873
252,greymouth,-42.4667,171.2,53.51,79,17,2.91,NZ,1684881575
253,vilyuysk,63.7553,121.6247,46.02,40,99,7.63,RU,1684881873
254,tazacorte,28.629,-17.9293,65.37,86,100,1.99,ES,1684881655
255,chernyshevskiy,63.0128,112.4714,39.51,82,98,4.74,RU,1684881873
256,aras-asan,8.8908,126.3033,79.88,84,100,2.98,PH,1684881873
257,walvis bay,-22.9575,14.5053,55.09,100,0,3.44,NA,1684881873
258,mimizan,44.2006,-1.2289,64.89,95,46,3.6,FR,1684881583
259,kenai,60.5544,-151.2583,55.49,47,100,17.27,US,1684881873
260,zakamensk,50.3741,103.2863,44.53,74,71,1.88,RU,1684881873
261,kapuskasing,49.4169,-82.4331,46.49,87,100,13.8,CA,1684881641
262,marsh harbour,26.5412,-77.0636,79.59,71,5,11.03,BS,1684881680
263,guanica,17.9716,-66.908,84.11,67,69,9.31,PR,1684881873
264,alice springs,-23.7,133.8833,35.15,87,5,4.88,AU,1684881649
265,utrik,11.2278,169.8474,82.27,77,71,16.02,MH,1684881873
266,khagrachhari,23.1,91.9667,74.08,99,36,2.98,BD,1684881874
267,tuscaloosa,33.2098,-87.5692,67.86,85,100,9.22,US,1684881716
268,kyshtovka,56.555,76.6271,50.16,60,33,6.46,RU,1684881874
269,ilheus,-14.7889,-39.0494,75.02,94,75,6.91,BR,1684881812
270,mpika,-11.8343,31.4529,61.95,85,77,6.73,ZM,1684881874
271,villa gonzalez,19.5406,-70.7885,80.62,81,47,1.9,DO,1684881874
272,bonthe,7.5264,-12.505,79.05,83,96,5.44,SL,1684881874
